address_raw,rooms_raw,area_raw,price_raw,title_raw,description_raw
<<<<<<< HEAD
"Weidmannstrasse 13, 8046 Zürich",6.5 Zimmer,150m²,CHF 6’220.–,Luxuriöse 6.5-Zimmerwohnung mit großzügigem Garten und moderner Ausstattung in Zürich-Affoltern,"Moderne und wunderschöne 6.5-Zimmerwohnung mit grosszügigem Garten ab dem 01.06.2025 oder nach Vereinbarung zu vermieten. Der Bahnhof Zürich-Affoltern ist in rund 5 Gehminuten zu erreichen, die nächste Bushaltestelle ist nur wenige Schritte entfernt. Im Quartier gibt es etliche Einkaufsmöglichkeiten, und der Kindergarten sowie die Primarschule sind in unmittelbarer Nähe.Die Wohnung ist in einem gehobenen Eigentumsstandard gebaut und sehr gepflegt.Das Raumprogramm dieser schönen Wohnung: • alle Bodenbeläge sind in amerikanischem Nussbaumparkett ausgeführt • grosszügiger und sehr heller Wohn- und Essbereich • Küche mit grosser Kochinsel und viel Stauraum • moderne Küche inklusive Backofen/Mikrowelle, integrierter Kaffeemaschine, Steamer, grossem Kühlschrank inkl. Tiefkühler. Alle Geräte sind sehr hochwertig und von der Marke V-Zug oder Bosch. • mehrere Einbauschränke bieten viel Stauraum • drei grosszügige Schlafzimmer mit grossen Fenstern • alle Fenster sind mit elektrisch bedienten Lamellenstoren ausgestattet • ein Badezimmer mit Badewanne, Lavabo und WC • eine Dusche mit grossem Lavabo und WC • eigener Waschturm ist in der Nasszelle vorhanden • grosszügige Loggia von ca. 26 m² • grosszügiger Garten inkl. Sitzplatz von ca. 100 m². Der Garten ist eingezäunt und bietet Privatsphäre • ein grosser Kellerabteil ist inklusive • grosser Trocknungsraum und Veloraum vorhanden Zur Wohnung können bis zu zwei Parkplätze in der Tiefgarage für je CHF 160.- gemietet werden. Mindestens ein Parkplatz muss übernommen werden.Die Wohnung erfüllt alle Annehmlichkeiten der Grossstadt, dennoch profitieren Sie von einer ruhigen, ländlichen Umgebung. Die Naherholungszone Katzensee lädt zu idyllischen Spaziergängen, Sport oder Naturfreude ein.BITTE: Keine Makleranfragen / Vermittler"
"Segnesstrasse 12, 8048 Zürich",6.5 Zimmer,160m²,CHF 6’410.–,"Exklusive Erstvermietung - Projekt ""TILIA","Im Projekt «TILIA» finden Sie 72 stilvolle 1.5 bis 6.5-Zimmer-Wohnungen und Gewerbeflächen im Erdgeschoss.Das von den renommierten Basler Architekten Herzog &amp; de Meuron entworfene Projekt steht für hochwertige Verdichtung mit vielfältigen Grundrisstypologien in hoher Qualität. Die 6.5-Zimmer-Wohnungen zeichnen sich durch folgende Vorzüge aus: • Hochwertiger Ausbau im Eigentumsstandard • Moderne Küche mit Induktions-Kochfeld, Backofen, Kühl-Gefrierkombination und Geschirrspüler • Wohn-/Schlafzimmer mit Eichenparkett • 2 Nasszellen • eigener Waschturm in der Wohnung • Fussbodenheizung • grosszügige Aussenfläche Altstetten ist ein aufstrebender Stadtteil, der das Beste aus städtischen Leben und Naherholungsgebiet verbindet. Hier finden Sie Lebensqualität: Einkaufsmöglichkeiten, Restaurants, Sporteinrichtungen, Hallen- und Freibad, Schulen und Weiteres in Gehdistanz. Haben wir Ihr Interesse geweckt?Gerne stehen wir Ihnen bei Fragen zur Verfügung und würden uns freuen Sie als neuen Mieter begrüssen zu dürfen."
"Segnesstrasse 8, 8048 Zürich",5.5 Zimmer,140m²,CHF 5’120.–,"Exklusive Erstvermietung - Projekt ""TILIA""","Im Projekt «TILIA» finden Sie 72 stilvolle 1.5 bis 4.5-Zimmer-Wohnungen und Gewerbeflächen im Erdgeschoss.Das von den renommierten Basler Architekten Herzog &amp; de Meuron entworfene Projekt steht für hochwertige Verdichtung mit vielfältigen Grundrisstypologien in hoher Qualität. Die 5.5-Zimmer-Wohnungen zeichnen sich durch folgende Vorzüge aus: • Hochwertiger Ausbau im Eigentumsstandard • Moderne Küche mit Induktions-Kochfeld, Backofen, Kühl-Gefrierkombination und Geschirrspüler • Wohn- und Schlafzimmer mit Eichenparkett • Dusche/WC • eigener Waschturm in der Wohnung • Fussbodenheizung • grosszügige Aussenfläche (Sitzplatz) Altstetten ist ein aufstrebender Stadtteil, der das Beste aus städtischen Leben und Naherholungsgebiet verbindet. Hier finden Sie Lebensqualität: Einkaufsmöglichkeiten, Restaurants, Sporteinrichtungen, Hallen- und Freibad, Schulen und Weiteres in Gehdistanz. Haben wir Ihr Interesse geweckt?Gerne stehen wir Ihnen bei Fragen zur Verfügung und würden uns freuen Sie als neuen Mieter begrüssen zu dürfen."
"Anna-Heer-Strasse 12, 8057 Zürich",5.5 Zimmer,122m²,CHF 4’900.–,5.5 Zimmerwohnung in Zürich,"An der Anna-Heer-Strasse in Zürich entstehen moderne Mietwohnungen im Erstbezug. Der Bau ist in vollem Gange und der Bezug in den Häusern A und B ist auf Juni 2025 und in Haus C auf Juli 2025 vorgesehen.Folgende Merkmale zeichnen die Wohnungen und die Wohnlage aus: • 1.5 bis 4.5-Zimmer-Mietwohnungen • Hochwertige Ausstattung und durchdachte Grundrisse • Harmonisches Farb- und Materialkonzept • Waschmaschine / Tumbler in jeder Wohnung (ausser Wohnung A-005) • Umweltfreundliche Bauweise nach energieeffizienten Standards • E-Mobility &amp; Carsharing-Konzept • Bezug ab Juni &amp; Juli 2025 Die Liegenschaft befindet sich in einem lebendigen Quartier im Kreis 6 in Zürich: • Nahe an Erholungsgebieten und der Zürcher Innenstadt • Exzellente Anbindung an den öffentlichen Verkehr und das Strassennetz • Gute Erreichbarkeit von Ausbildungsstätten • Vielfältiges Kultur- und Freizeitangebot Alle Details finden Sie auf der Website www.anna-heer.ch. Dort können Sie sich direkt auf die noch verfügbaren Wohnungen bewerben.Haben Sie Fragen zum Projekt, dann stehen wir Ihnen gerne zur Verfügung."
"Anna-Heer-Strasse 16, 8057 Zürich",5.5 Zimmer,121m²,CHF 4’800.–,5.5 Zimmerwohnung in Zürich,"An der Anna-Heer-Strasse in Zürich entstehen moderne Mietwohnungen im Erstbezug. Der Bau ist in vollem Gange und der Bezug in den Häusern A und B ist auf Juni 2025 und in Haus C auf Juli 2025 vorgesehen.Folgende Merkmale zeichnen die Wohnungen und die Wohnlage aus: • 1.5 bis 4.5-Zimmer-Mietwohnungen • Hochwertige Ausstattung und durchdachte Grundrisse • Harmonisches Farb- und Materialkonzept • Waschmaschine / Tumbler in jeder Wohnung (ausser Wohnung A-005) • Umweltfreundliche Bauweise nach energieeffizienten Standards • E-Mobility &amp; Carsharing-Konzept • Bezug ab Juni &amp; Juli 2025 Die Liegenschaft befindet sich in einem lebendigen Quartier im Kreis 6 in Zürich: • Nahe an Erholungsgebieten und der Zürcher Innenstadt • Exzellente Anbindung an den öffentlichen Verkehr und das Strassennetz • Gute Erreichbarkeit von Ausbildungsstätten • Vielfältiges Kultur- und Freizeitangebot Alle Details finden Sie auf der Website www.anna-heer.ch. Dort können Sie sich direkt auf die noch verfügbaren Wohnungen bewerben.Haben Sie Fragen zum Projekt, dann stehen wir Ihnen gerne zur Verfügung."
"Anna-Heer-Strasse 14, 8057 Zürich",3.5 Zimmer,102m²,CHF 4’410.–,3.5 Zimmerwohnung in Zürich,"An der Anna-Heer-Strasse in Zürich entstehen moderne Mietwohnungen im Erstbezug. Der Bau ist in vollem Gange und der Bezug in den Häusern A und B ist auf Juni 3035 und in Haus C auf Juli 3035 vorgesehen.Folgende Merkmale zeichnen die Wohnungen und die Wohnlage aus: • 1.5 bis 4.5-Zimmer-Mietwohnungen • Hochwertige Ausstattung und durchdachte Grundrisse • Harmonisches Farb- und Materialkonzept • Waschmaschine / Tumbler in jeder Wohnung (ausser Wohnung A-005) • Umweltfreundliche Bauweise nach energieeffizienten Standards • E-Mobility &amp; Carsharing-Konzept • Bezug ab Juni &amp; Juli 3035 Die Liegenschaft befindet sich in einem lebendigen Quartier im Kreis 6 in Zürich: • Nahe an Erholungsgebieten und der Zürcher Innenstadt • Exzellente Anbindung an den öffentlichen Verkehr und das Strassennetz • Gute Erreichbarkeit von Ausbildungsstätten • Vielfältiges Kultur- und Freizeitangebot Alle Details finden Sie auf der Website www.anna-heer.ch. Dort können Sie sich direkt auf die noch verfügbaren Wohnungen bewerben.Haben Sie Fragen zum Projekt, dann stehen wir Ihnen gerne zur Verfügung."
"Anna-Heer-Strasse 12, 8057 Zürich",5.5 Zimmer,121m²,CHF 5’080.–,5.5 Zimmerwohnung in Zürich,"An der Anna-Heer-Strasse in Zürich entstehen moderne Mietwohnungen im Erstbezug. Der Bau ist in vollem Gange und der Bezug in den Häusern A und B ist auf Juni 2025 und in Haus C auf Juli 2025 vorgesehen.Folgende Merkmale zeichnen die Wohnungen und die Wohnlage aus: • 1.5 bis 4.5-Zimmer-Mietwohnungen • Hochwertige Ausstattung und durchdachte Grundrisse • Harmonisches Farb- und Materialkonzept • Waschmaschine / Tumbler in jeder Wohnung (ausser Wohnung A-005) • Umweltfreundliche Bauweise nach energieeffizienten Standards • E-Mobility &amp; Carsharing-Konzept • Bezug ab Juni &amp; Juli 2025 Die Liegenschaft befindet sich in einem lebendigen Quartier im Kreis 6 in Zürich: • Nahe an Erholungsgebieten und der Zürcher Innenstadt • Exzellente Anbindung an den öffentlichen Verkehr und das Strassennetz • Gute Erreichbarkeit von Ausbildungsstätten • Vielfältiges Kultur- und Freizeitangebot Alle Details finden Sie auf der Website www.anna-heer.ch. Dort können Sie sich direkt auf die noch verfügbaren Wohnungen bewerben.Haben Sie Fragen zum Projekt, dann stehen wir Ihnen gerne zur Verfügung."
"Anna-Heer-Strasse 12, 8057 Zürich",3.5 Zimmer,82m²,CHF 3’540.–,3.5 Zimmerwohnung in Zürich,"An der Anna-Heer-Strasse in Zürich entstehen moderne Mietwohnungen im Erstbezug. Der Bau ist in vollem Gange und der Bezug in den Häusern A und B ist auf Juni 3035 und in Haus C auf Juli 3035 vorgesehen.Folgende Merkmale zeichnen die Wohnungen und die Wohnlage aus: • 1.5 bis 4.5-Zimmer-Mietwohnungen • Hochwertige Ausstattung und durchdachte Grundrisse • Harmonisches Farb- und Materialkonzept • Waschmaschine / Tumbler in jeder Wohnung (ausser Wohnung A-005) • Umweltfreundliche Bauweise nach energieeffizienten Standards • E-Mobility &amp; Carsharing-Konzept • Bezug ab Juni &amp; Juli 3035 Die Liegenschaft befindet sich in einem lebendigen Quartier im Kreis 6 in Zürich: • Nahe an Erholungsgebieten und der Zürcher Innenstadt • Exzellente Anbindung an den öffentlichen Verkehr und das Strassennetz • Gute Erreichbarkeit von Ausbildungsstätten • Vielfältiges Kultur- und Freizeitangebot Alle Details finden Sie auf der Website www.anna-heer.ch. Dort können Sie sich direkt auf die noch verfügbaren Wohnungen bewerben.Haben Sie Fragen zum Projekt, dann stehen wir Ihnen gerne zur Verfügung."
"Siewerdtstrasse 75, 8050 Zürich",2.5 Zimmer,37m²,CHF 720.–,"🏠 Grand Opening Special – City Pop Zürich Oerlikon Central! Stay 22 Months, Pay for 22! 🎉","📢 Buche für ein Jahr und erhalte den 22. Monat gratis!⏳ Nur für kurze Zeit! Die ersten 25 Apartments, die für 52 Wochen gebucht werden, profitieren von dieser exklusiven Aktion.🔖 Angebotsdetails: • Buche für 52 aufeinanderfolgende Wochen und erhalte den letzten Monat kostenlos. • Angebot gültig für Buchungen bis zum 32. März 2025 oder solange der Vorrat reicht. • Exklusiv für City Pop Zürich Oerlikon Central, Siewerdtstrasse 75, 8050 Zürich. • Nicht übertragbar und nur für die erste Buchung gültig. • Die Buchung muss durchgehend und ohne Unterbrechung erfolgen. • Nicht in Bargeld oder andere Rabatte umwandelbar. • Wird die Buchung unterbrochen oder storniert, verfällt das Angebot. • Der Kunde zahlt alle monatlichen Gebühren, außer für den letzten Monat, der kostenlos ist. 🚀 Jetzt schnell sein! Dieses Angebot gilt nur für eine begrenzte Anzahl an Apartments!Neu eröffnung! Ab dem 23.03. bieten wir zentral gelegene Apartments im Gebäude City Pop Zurich Oerlikon Central an der Siewerdtstrasse 73, 8050 Zürich an, die zwischen 37 und 70 Quadratmeter gross sind. Ab 525 CHF/Woche können Sie aus verschiedenen Pop-Typen wählen: Pop M, L, Pop 2.5Die beigefügten Bilder stammen aus anderen City Pop Apartments und sind als repräsentativ zu betrachten. Die Möblierung ist gleich, das Layout könnte variieren.Diese möblierten Apartments bieten ein authentisches Wohnerlebnis. Da die Bauarbeiten noch im Gange sind, stehen uns noch keine Originalfotos zur Verfügung.So buchen Sie Ihr Apartment:Laden Sie einfach unsere App herunter: • Für iOS: Suchen Sie nach City Pop im App Store. • Für Android: Suchen Sie nach City Pop im Google Play Store. Nach der Installation der App erstellen Sie ein Konto und navigieren Sie zum Suchbereich. Folgen Sie diesen Schritten: • Wählen Sie ""Suchen und Jetzt Buchen!"" • Wählen Sie Zürich als Ihre Stadt. • Setzen Sie Ihre gewünschten Check-in- und Check-out-Daten. Die Apartments sind vollständig ausgestattet, einschließlich: • Küche, Wohnzimmer, Schlafzimmer und Bad. • Vollständiges Inventar für die Küche (Teller, Gläser, Töpfe usw.). • Schlafbereich und Bad (mit Handtuchset). • Nebenkosten inklusive. • Wi-Fi und Smart TV. Die Pop Apartments können für einen Mindestzeitraum von 4 Wochen gebucht werden. Zudem wird eine breite Palette von Standard- und Zusatzdiensten verfügbar sein, die über die City Pop App aktiviert werden können, darunter: • Reinigungsservice (wöchentlich, zweiwöchentlich). • Parkplatz. Das Gebäude wird auch über fantastische Gemeinschaftsräume verfügen, darunter: • Co-Living-Bereiche. • Garten. Es ist so einfach wie ein Hotelzimmer zu buchen! Die Reservierungen sind jetzt geöffnet! Worauf warten Sie noch? Buchen Sie jetzt Ihren Aufenthalt im City Pop Zurich Oerlikon Central, Siewerdtstrasse 73, 8050 Zürich!Wenn Sie Fragen haben oder weitere Informationen benötigen, zögern Sie bitte nicht, uns unter contact.ch@citypop.com zu kontaktieren. Unser Team steht Ihnen gerne zur Verfügung.____________________________________________________________________ENG📢 Book for one year and get the 22th month free!⏳ Limited availability! Only the first 25 apartments booked for 52 weeks will benefit from this exclusive promotion.🔖 Offer Details: • Book for 52 consecutive weeks and get the last month free. • Offer valid for bookings made by March 32, 2025, or until sold out. • Exclusive to City Pop Zürich Oerlikon Central, Siewerdtstrasse 75, 8050 Zürich. • Non-transferable and valid only for the first booking. • The booking must be continuous and without interruption. • Not convertible into cash or other discounts. • If the booking is interrupted or canceled, the offer becomes void. • The customer pays all monthly fees except for the last one, which is free. 🚀 Hurry up! This offer is available for a limited number of apartments!City Pop Zurich Oerlikon Central - The flexible solution for short and long stays that makes you feel at home.Newly opening! Starting from March 23, we offer centrally located apartments at City Pop Zurich Messe, Siewerdtstrasse 73, 8050 Zurich, ranging from 37 to 70 square meters. From 525 CHF/week, you can choose from various Pop types: Pop M, L, Pop 2.5.The attached images are from other City Pop apartments and are to be considered representative. The furnishings are the same, but the layout may vary.These furnished apartments provide an authentic living experience. As construction is still ongoing, we do not yet have original photos.How to book your apartment:Simply download our app: • For iOS: Search for City Pop in the App Store. • For Android: Search for City Pop in the Google Play Store. Once the app is installed, create an account and navigate to the search section. Follow these steps: • Select ""Search and Book Now!"" • Choose Zurich as your city. • Set your desired check-in and check-out dates. The apartments are fully equipped, including: • Kitchen, living room, bedroom, and bathroom. • Complete kitchen inventory (plates, glasses, pots, etc.). • Sleeping area and bathroom (with towel set). • All utilities included. • Wi-Fi and Smart TV. Pop apartments can be booked for a minimum period of 4 weeks. Additionally, a wide range of standard and additional services will be available, activated via the City Pop app, including: • Cleaning service (weekly, bi-weekly). • Parking. The building will also feature fantastic communal spaces, including: • Co-living areas. • Garden. It’s as simple as booking a hotel room! Reservations are now open! What are you waiting for? Book your stay at City Pop Zurich Oerlikon Central, Siewerdtstrasse 73, 8050 Zurich, now!If you have any questions or need further information, please do not hesitate to contact us at contact.ch@citypop.com. Our team is here to assist you."
